Actual test,Predicted_value
42,104.375994
137,111.5202033
180,114.5934106
19,125.2897686
68,112.5179978
20,111.5202033
25,125.6489746
20,112.4780861
32,118.5446772
166,131.5160068
14,121.7376198
92,100.5843746
108,117.7065297
82,120.8196488
134,112.7574685
9,109.4048787
106,104.3360822
36,117.4271472
213,125.7287982
8,110.4824969
154,120.5003546
4,114.7929695
27,122.2165612
73,104.6553765
281,112.9969392
56,116.8284705
51,129.5603294
578,84.81922005
14,113.1964982
22,114.4736752
114,111.8394975
30,112.4780861
58,111.2408208
14,111.200909
2,111.2408208
10,107.0500835
231,115.5512934
92,102.2207577
95,113.3162335
114,103.4181112
162,107.5689367
4,110.083379
2,110.3627615
54,121.6178845
14,115.5512934
9,119.1034421
41,109.7640848
78,112.8372921
16099,111.4004679
87,101.422522
64,110.4026733
92,123.2143558
10,127.0458871
1288,121.4981491
37,109.6842612
102,113.8350867
10,112.3184389
20,111.4403797
117,105.3338768
14,122.5757673
63,125.5691511
3,126.327475
71,121.0192077
51,105.4536122
6,108.1676134
5269,124.4516211
791,130.3984769
8,107.4492013
191,110.1232908
15,109.2452316
19,107.4492013
13,109.724173
28,110.3627615
37,132.5537132
6,110.1232908
41,110.2430262
302,112.7175568
173,108.7263784
142,110.4425851
149,112.2386154
211,117.7464415
16,115.5912052
216,115.6710287
85,111.1609972
36,107.688672
143,111.9991447
16,114.3938517
86,120.1012367
67,119.1832657
135,119.7021189
36,129.3208587
79,118.943795
2,106.8904364
152,119.7420307
48,109.7640848
203,128.8818291
254,105.9325536
158,116.3495291
41,108.8860255
86,126.9261517
52,112.5978214
44,119.7420307
3,128.5625348
5,104.1365233
228,115.9104994
65,115.5512934
16,121.2586784
35,110.9614383
82,102.7396109
11,110.4824969
147,118.5845889
105,109.0456727
57,102.7396109
17,109.2452316
7,119.0635303
102,113.4758806
171,119.6622071
67,115.3517345
21,119.2630893
31,103.3382876
92,114.9526166
149,108.3272606
2,116.0302348
144,121.9770905
8,113.6754396
69,109.6842612
76,111.1609972
188,120.1012367
40,120.6600017
54,129.1612116
29,129.2011234
1,115.7508523
169,110.6820558
67,121.6178845
25,111.0412619
121,113.2364099
43,110.5224087
62,110.5623204
823,131.6756539
51,125.6888864
761,135.3874498
50,114.0346456
35,111.1210854
5,109.3649669
291,115.0324402
47,123.2542676
2,114.0346456
2,111.200909
123,110.2430262
17,113.954822
5,129.2011234
251,115.5113816
51,119.303001
72,118.3451182
13,110.8816147
43,112.5978214
3,119.4626482
9,108.9259373
268,111.6399386
7,103.3781994
58,104.4159058
77,115.431558
140,119.2231775
60,118.1455593
707,133.5914196
5,119.50256
185,107.7684956
77,116.3495291
1,112.9969392
6,114.5534988
76,116.3096173
373,109.2053198
19,125.8086218
91,106.411495
105,126.2875632
10,122.6156791
31,117.5069708
51,110.4824969
93,110.282938
15,109.8439083
243,102.540052
797,128.9616527
145,126.9660635
24,132.9927428
39,105.4935239
47,109.165408
50,111.3206443
101,103.2983758
6,108.247437
85,113.3561453
68,110.6022322
127,111.3605561
25,114.7530577
69,116.1898819
112,106.6110539
17,110.0035555
40,120.0214132
15,126.7665046
110,112.0789682
9,104.6952883
32,111.4004679
211,106.0123771
87,124.4915329
90,111.759674
13,112.9171157
4,132.7532721
13,112.9570275
73,122.8551498
39,113.6355278
66,121.2586784
159,118.6245007
114,104.0966115
4,105.0145825
15,118.6644125
308,111.3605561
927,125.7287982
151,117.4271472
11,131.7554775
0,114.9127049
6,115.9104994
2,125.2498568
39,110.0035555
56,116.1100584
107,120.3806192
50,113.954822
54,129.4006823
1,113.1565864
63,103.1786405
94,110.3627615
62,110.2031144
162,109.6044376
26,120.7398253
201,105.85273
29,105.8128182
61,120.8196488
60,112.4780861
55,106.0922007
129,105.2540532
34,116.9482058
39,113.7951749
90,108.7263784
121,110.0035555
61,117.8262651
30,107.0500835
18,111.9592329
179,121.6577963
27,121.7376198
138,100.9834924
298,110.083379
53,112.7973803
48,108.5268195
14,118.5047654
42,111.4004679
7,103.5378465
684,136.8641858
56,113.2763217
100,116.908294
100,108.3671724
105,111.200909
56,114.2342045
123,131.1568008
85,125.9283571
115,130.6379476
25,125.4893275
155,131.7155657
122,136.1457737
43,130.5182122
95,111.8394975
72,102.5799637
13,130.4383887
82,109.5246141
116,111.7995857
92,127.5248285
29,106.4514067
26,123.2143558
0,110.3627615
61,121.897267
44,116.8284705
15,107.0899953
19,106.5312303
62,101.1830513
13,115.5113816
99,110.6820558
21,102.6996991
9,109.6044376
576,84.77930827
74,109.2053198
93,134.429567
43,110.8417029
112,104.2562586
541,86.01657356
38,121.1788549
95,119.1433539
75,117.4271472
139,107.7285838
23,109.7640848
105,103.7374055
5,114.6333224
3,113.5157924
128,127.4450049
90,111.9193211
103,115.8705877
123,112.9570275
93,111.200909
15,110.083379
138,120.3407074
178,111.2408208
19,107.7285838
2,129.4405941
712,81.42671845
176,117.8661768
116,125.6489746
11,129.3208587
16,125.8086218
6,113.9947338
51,122.4161202
2,107.1698188
162,118.1455593
8,111.4004679
24,130.4383887
2872,116.6289115
6,113.3561453
76,100.7041099
92,124.4915329
199,126.327475
3,114.9925284
12,107.1299071
2,108.5268195
125,125.0502979
794,130.9572418
36,110.8417029
252,98.26949111
105,112.9570275
58,108.5268195
27,126.3673867
23,108.9658491
19,107.4092895
13,105.2540532
12,126.2476514
95,132.0747718
19,121.4582374
4,113.7153513
25,117.3473237
3,116.4692644
22,120.2608839
49,113.2763217
58,114.9127049
46,132.8730075
84,114.3140281
155,97.55107901
26,128.0835934
25,80.62848278
657,134.7488613
149,109.5246141
24,105.3737886
23,106.8904364
217,126.6068574
186,108.6066431
92,116.1898819
84,128.4427995
3,126.3673867
200,131.2366243
153,107.9680545
26,128.9616527
602,136.3054208
24,108.2075252
79,110.6820558
116,111.9193211
91,117.3074119
23,109.3649669
146,104.4159058
23,110.5224087
70,108.4869077
8,110.5224087
382,112.1987036
847,129.7998001
79,112.3184389
128,118.025824
36,110.6022322
110,102.2207577
133,117.8262651
64,105.1343179
5,108.247437
50,126.327475
94,110.9614383
2,111.4004679
13,118.5047654
7,124.1323269
10,115.9104994
65,108.4070841
7,130.0791826
25,127.9638581
1,116.6688233
174,102.6198755
41,109.724173
50,106.5312303
40,114.5934106
41,113.7552631
41,119.5424717
54,113.6355278
34,115.5113816
46,102.6198755
1,116.549088
90,111.759674
62,110.6022322
22,106.770701
15,107.5290249
124,122.3362966
23,109.8039966
27,133.8308903
120,114.6333224
175,110.9614383
115,122.2165612
140,111.9592329
115,103.4979348
17,113.2364099
49,116.6289115
42,113.1964982
25,111.4802915
62,113.954822
98,112.2785271
215,118.5446772
11,122.8950616
3,111.5202033
136,111.6000268
144,109.3250552
109,122.6555909
57,114.5534988
26,102.899258
41,128.2033288
100,113.954822
71,117.6666179
1553,105.6930829
104,107.688672
206,116.5091762
118,108.2075252
0,117.7863533
82,113.9149103
1,130.0392708
17,109.8439083
250,115.9504112
2,127.7243874
8,115.990323
146,108.4469959
154,111.200909
7,120.8196488
49,110.8417029
78,124.9305625
115,112.3583507
11,125.2897686
26,113.4758806
39,121.2586784
13,118.025824
23,131.1967125
52,108.7662902
41,107.688672
13,107.7285838
675,80.14954138
19,111.3206443
33,123.0547087
250,115.2719109
30,111.4403797
51,121.0591195
66,103.458023
47,81.90565985
39,108.4469959
49,111.0013501
48,118.8639714
145,109.165408
98,104.5356411
63,109.0855845
63,125.6489746
88,119.3429128
5,111.8394975
25,106.4913185
776,131.6357422
45,107.7285838
116,111.3605561
112,113.5157924
20,120.6999135
173,111.6399386
26,114.3140281
9,112.5579096
66,113.3162335
245,112.2785271
37,108.806202
51,116.9881176
19,115.3517345
198,120.6600017
194,117.5468826
184,104.8948472
56,114.9127049
431,83.34248406
43,112.8772039
224,114.1942928
1,110.6022322
33,109.0057609
5,118.1056475
733,134.0304492
39,111.8794093
225,113.4758806
39,114.8328813
17,110.5224087
117,112.8772039
107,112.7574685
1,109.165408
162,106.8106128
12,111.8794093
0,127.7642992
1,116.549088
63,116.3894408
5,125.5292393
163,111.200909
17,110.9215265
10,113.9149103
149,118.7841479
62,124.0525033
362,102.1808459
24,110.642144
24,119.0635303
207,114.4736752
228,112.9570275
87,114.154381
75,107.1698188
52,126.2077396
64,132.7931839
136,127.4849167
211,104.4159058
97,122.6955026
33,107.0101717
793,132.5138014
5,111.9991447
716,135.7466559
569,132.0747718
68,112.4780861
100,109.6044376
21,131.7953893
5,129.9594473
79,108.4469959
81,133.5515078
154,106.1720243
87,110.6820558
64,120.6200899
113,107.8483192
73,110.2430262
87,109.9636437
108,111.2807326
4,106.1321125
10,108.806202
2,114.8727931
149,116.8683822
15,125.5292393
106,109.0456727
39,106.0922007
50,113.9947338
90,116.5889998
313,103.3781994
5,110.3627615
56,112.2785271
31,127.8441227
42,112.1587918
21,117.3473237
194,117.0679412
149,119.5424717
88,114.0346456
107,111.200909
98,100.3049921
28,121.8573552
31,120.7398253
21,104.0167879
49,119.9016778
11,120.8196488
72,125.1301214
3,111.759674
7,115.5512934
10,112.0390564
11,128.4028877
39,117.6267061
203,97.75063793
55,123.8529444
5,105.0145825
7,107.8882309
64,116.1100584
8,109.9237319
250,115.5512934
218,116.6289115
51,115.2719109
66,113.1166746
98,104.5755529
166,115.9504112
35,111.200909
70,111.4403797
4,105.0145825
118,118.8240596
98,122.815238
90,111.4802915
23,108.8461138
819,127.8042109
30,129.5204176
17,114.7929695
202,111.8794093
76,114.2342045
52,107.3693778
7,116.0302348
95,124.4516211
63,115.3118227
21,105.9325536
22,103.458023
18,105.5733475
14,112.9570275
83,108.5667313
5,128.4427995
114,132.4738896
79,108.7263784
87,117.3074119
173,119.3828246
41,133.3519489
132,113.0767628
90,104.0566997
61,115.990323
218,110.2430262
31,114.2741163
3,113.1166746
116,111.9193211
105,106.6110539
1,110.6022322
56,114.4736752
45,108.0478781
28,121.2586784
2,103.8571408
3,115.5512934
7,114.3539399
27,105.9325536
76,114.1942928
7,116.549088
98,108.2075252
74,128.9217409
39,123.733209
35,124.6910918
250,114.0745574
124,103.2983758
54,114.8328813
58,116.1898819
36,110.0035555
43,111.2408208
83,112.0390564
20,124.2520622
33,116.0302348
32,124.1722386
71,119.861766
8,103.0189934
24,110.5224087
83,117.5069708
56,102.6597873
72,112.7973803
19,112.7175568
108,110.8017911
128,111.8794093
163,120.9393842
122,99.42693284
125,113.1964982
248,125.2897686
27,109.0057609
13,121.1788549
116,112.5579096
11,113.4758806
785,132.7133603
2259,98.42913825
174,118.6644125
28,124.5314447
7,110.2031144
14,115.7508523
